,標普500,標普500期貨,紐約原油近月,布倫特原油近月,熱燃油近月,天然氣近月,黃金近月,白金近月,白銀近月,高級銅近月,鈀金近月,玉米近月,小麥近月,稻近月,黃豆近月,瘦肉豬近月,飼養牛近月,活牛近月,可可豆近月,咖啡近月,棉花近月,11號糖近月,隨機長度木材近月,聯邦資金有效利率,美元指數,1年期國債殖利率,10年期國債殖利率,30年期國債殖利率,10/1年期國債殖利率差,30/1年期國債殖利率差,CPI,PPI,非農業就業人數,失業率,GDP,時間序列
2011-09-30,1131.4200439453125,1126.0,79.19999694824219,102.76000213623047,2.794800043106079,3.6659998893737793,1620.4000244140625,1519.4000244140625,30.041000366210938,3.1449999809265137,614.0499877929688,592.5,609.25,1595.0,1179.0,93.375,140.52499389648438,122.1500015258789,2608.0,228.89999389648438,98.70999908447266,26.34000015258789,211.10000610351562,0.06,78.55000305175781,0.10966666666666666,2.1443333333333334,3.1316666666666664,2.034666666666667,3.022,226.7449,201.18666666666667,132549.93333333332,8.806666666666667,15840.151934782609,4290
2011-10-03,1099.22998046875,1086.25,77.61000061035156,101.70999908447266,2.7528998851776123,3.617000102996826,1656.0,1512.300048828125,30.75,3.140000104904175,593.25,592.5,619.5,1599.0,1177.5,93.125,141.0,123.0999984741211,2575.0,223.4499969482422,97.75,24.850000381469727,213.0,0.08,79.44999694824219,0.11,2.1409677419354836,3.1229032258064513,2.0309677419354837,3.0129032258064514,226.7770322580645,201.11935483870968,132566.29032258064,8.787096774193548,15847.192152173913,4293
2011-10-04,1123.949951171875,1113.5,75.66999816894531,99.79000091552734,2.723400115966797,3.638000011444092,1614.699951171875,1461.9000244140625,29.795000076293945,3.0945000648498535,563.5,587.75,604.0,1584.5,1160.0,93.4000015258789,138.89999389648438,121.0250015258789,2592.0,226.5500030517578,100.91999816894531,24.690000534057617,215.8000030517578,0.07,79.5999984741211,0.11,2.1364516129032256,3.1193548387096772,2.0264516129032257,3.0093548387096773,226.79054838709678,201.1290322580645,132570.93548387097,8.780645161290323,15849.65472826087,4294
2011-10-06,1164.969970703125,1157.5,82.58999633789062,105.7300033569336,2.8610999584198,3.5980000495910645,1651.9000244140625,1503.800048828125,31.969999313354492,3.239000082015991,598.1500244140625,605.5,616.0,1593.0,1163.75,94.75,139.10000610351562,122.3499984741211,2660.0,234.39999389648438,102.25,24.639999389648438,226.60000610351562,0.07,78.52999877929688,0.11,2.1274193548387097,3.112258064516129,2.01741935483871,3.002258064516129,226.81758064516129,201.1483870967742,132580.2258064516,8.76774193548387,15854.579880434783,4296
2011-10-07,1155.4599609375,1155.0,82.9800033569336,105.87999725341797,2.858799934387207,3.4809999465942383,1634.5,1489.0,30.95800018310547,3.2664999961853027,585.2000122070312,600.0,607.5,1562.5,1158.25,94.67500305175781,139.625,121.9749984741211,2652.0,224.35000610351562,101.4800033569336,25.15999984741211,216.8000030517578,0.07,78.72000122070312,0.11,2.1229032258064513,3.1087096774193546,2.0129032258064514,2.9987096774193547,226.83109677419355,201.15806451612903,132584.87096774194,8.761290322580646,15857.042456521738,4297
2011-10-10,1194.8900146484375,1191.0,85.41000366210938,108.94999694824219,2.903899908065796,3.5409998893737793,1669.5999755859375,1520.5999755859375,31.944000244140625,3.361999988555908,613.6500244140625,605.0,611.5,1551.5,1177.5,93.0250015258789,139.0,120.0250015258789,2656.0,226.3000030517578,103.33999633789062,26.280000686645508,224.39999389648438,0.07,77.5999984741211,0.11,2.1093548387096774,3.0980645161290323,1.9993548387096773,2.9880645161290325,226.87164516129033,201.18709677419355,132598.8064516129,8.741935483870968,15864.430184782608,4300
2011-10-11,1195.5400390625,1189.5,85.80999755859375,110.7300033569336,2.904099941253662,3.615999937057495,1659.699951171875,1515.199951171875,31.96299934387207,3.2874999046325684,603.6500244140625,645.0,660.75,1598.0,1235.5,92.125,138.47500610351562,121.375,2604.0,223.39999389648438,103.47000122070312,25.940000534057617,225.5,0.07,77.58000183105469,0.11,2.104838709677419,3.094516129032258,1.994838709677419,2.984516129032258,226.88516129032257,201.19677419354838,132603.4516129032,8.735483870967743,15866.892760869565,4301
2011-10-12,1207.25,1198.25,85.56999969482422,111.36000061035156,2.9347000122070312,3.489000082015991,1681.300048828125,1550.5,32.75400161743164,3.390500068664551,610.4500122070312,640.75,626.75,1635.5,1239.5,92.125,138.22500610351562,120.4749984741211,2633.0,229.4499969482422,100.51000213623047,26.010000228881836,222.0,0.07,76.98999786376953,0.11,2.100322580645161,3.0909677419354837,1.990322580645161,2.980967741935484,226.89867741935484,201.20645161290324,132608.09677419355,8.729032258064516,15869.355336956522,4302
2011-10-13,1203.6600341796875,1198.0,84.2300033569336,111.11000061035156,2.971400022506714,3.5309998989105225,1667.300048828125,1528.5,31.632999420166016,3.302500009536743,593.4500122070312,638.25,618.0,1640.5,1257.0,93.0,138.6999969482422,121.05000305175781,2630.0,237.64999389648438,101.55999755859375,26.90999984741211,216.8000030517578,0.07,76.98999786376953,0.11,2.095806451612903,3.0874193548387097,1.985806451612903,2.97741935483871,226.9121935483871,201.21612903225807,132612.74193548388,8.72258064516129,15871.817913043478,4303
2011-10-14,1224.5799560546875,1219.25,86.80000305175781,114.68000030517578,3.055799961090088,3.703000068664551,1681.800048828125,1549.5,32.13999938964844,3.4049999713897705,619.9000244140625,640.0,622.75,1662.5,1270.0,93.57499694824219,139.89999389648438,121.6500015258789,2671.0,239.5500030517578,101.94000244140625,27.93000030517578,221.0,0.07,76.62000274658203,0.11,2.091290322580645,3.0838709677419356,1.981290322580645,2.9738709677419357,226.92570967741935,201.2258064516129,132617.38709677418,8.716129032258065,15874.280489130435,4304
